time, x0, y0, x1, y1...
7.319214344024658, 2100.9151987497453, 1418.9979785104222, 1357.9002369649916, 2164.5591830067865
8.685595035552979, 2066.8234862579066, 1454.1819784260106, 2069.5135937109717, 1455.63601512564
10.272270917892456, 2100.254074862454, 1417.8065532657868, 2100.137735882029, 1420.0788472821125
11.67954158782959, 2084.029394169529, 1436.5836378609733, 2073.035895696207, 1441.3894102815634
12.86737847328186, 2175.709071521349, 1342.763116150323, 2141.67243228376, 2849.519644173481
13.740727663040161, 2175.709071521349, 1342.763116150323, 2141.67243228376, 2849.519644173481
13.82550048828125, 2175.709071521349, 1342.763116150323, 2141.67243228376, 2849.519644173481
13.998734474182129, 2175.709071521349, 1342.763116150323, 2141.67243228376, 2849.519644173481
15.01045846939087, 2063.901959042304, 1455.0331697293277, 2130.0000000014093, 2940.3914382739695
16.48549747467041, 2021.9503191920087, 1498.1016466620742, 1358.3085817545928, 2165.3841488632324
17.63939905166626, 2061.6355494900786, 1443.1695013939434, 2069.1532693944255, 1454.4926179706993
22.255898237228394, 2068.362486754164, 1444.670984899276, 2131.9999999207103, 2844.176102702336
23.784476041793823, 2021.9640489093888, 1486.7782645451987, 2021.7750011630544, 1486.990235734474
25.30877709388733, 2058.294316314235, 1448.665697369061, 1768.2182878055332, 1753.4145120702015
26.912426233291626, 2067.010972006217, 1451.9693903847462, 1725.9693110506075, 1797.1349068003979
28.38634419441223, 2176.149940797633, 1334.5773660883874, 2108.7735751468576, 2844.1189933921833
29.748553037643433, 2070.537803106856, 1451.6261549643843, 2034.8660930567003, 1480.9161600822522
31.046070098876953, 2038.5047353510563, 1471.1199642462766, 1965.6117334607652, 1557.9877959967398
32.380980253219604, 2033.2846769767461, 1486.8215213416436, 2185.9420186628545, 2857.3624270147425
33.86160326004028, 2033.2846769767461, 1486.8215213416436, 2185.9420186628545, 2857.3624270147425
35.6801540851593, 2029.0435668495918, 1490.2494579867612, 2181.0, 2805.4355741379477
37.1180579662323, 2177.079154146186, 1345.6077717157434, 2182.5000004052213, 2885.9114620093787
38.59714388847351, 2030.9800797401372, 1486.457845985362, 2137.666834740809, 2850.582231223526
40.09235882759094, 2074.899446209521, 1412.3570306303359, 1726.5266163897693, 1798.2827913146382
41.17499351501465, 2081.2021699018082, 1434.4256908343687, 2019.1348891342673, 1489.9577258913982
42.12131333351135, 2081.2021699018082, 1434.4256908343687, 2019.1348891342673, 1489.9577258913982
43.54725193977356, 2069.030135904856, 1438.1319141063946, 2058.88237515003, 1459.4360971359595
45.17751479148865, 2033.9676198229681, 1479.2414853324524, 1837.5051992782478, 1687.4106197971835
46.414262533187866, 2060.8056479959455, 1446.3049540090988, 2060.765854313775, 1446.3903916966574
47.276071548461914, 2060.8056479959455, 1446.3049540090988, 2060.765854313775, 1446.3903916966574
48.25645422935486, 2060.8056479959455, 1446.3049540090988, 2060.765854313775, 1446.3903916966574
49.25109791755676, 2030.9077063873603, 1483.5283553689649, 2023.7965127530229, 1494.2602391758198
50.21427798271179, 2030.9077063873603, 1483.5283553689649, 2023.7965127530229, 1494.2602391758198
51.14166879653931, 2030.9077063873603, 1483.5283553689649, 2023.7965127530229, 1494.2602391758198
52.741342306137085, 2068.5576523505465, 1456.1596308547203, 2157.0897078511753, 2839.162013137149
54.248772621154785, 2059.5914986525636, 1443.305427249812, 1799.0545371536405, 1726.410870677714
55.93786907196045, 2027.0647740282602, 1491.8388992124885, 2118.017261301675, 2874.0000863793116
57.41459631919861, 1980.0668249909668, 1539.1325717864786, 1787.9105677829398, 1736.3309210619404
58.93219828605652, 2077.8218048175413, 1442.425870668464, 2266.6662766949457, 2826.534095095407
60.349392890930176, 2063.297999293939, 1461.026150285319, 2040.2979992939393, 1483.7443359288093
78.79316568374634, 2204.140895358631, 1320.6621932117241, 2053.1818822400955, 1453.8980040613628
80.36661434173584, 2204.140895358631, 1320.6621932117241, 2053.1818822400955, 1453.8980040613628
82.08861565589905, 2060.1254750875023, 1467.1286457628748, 1633.2046218944563, 1895.9347825653063
